1569023536643321856,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN",57,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN"
1569127325949739016,@Buccaneers @dallascowboys @NFL let's go Buccaneers,51,@Buccaneers @dallascowboys @NFL let's go Buccaneers
1569127299877937157,the founding fathers would’ve loved Pokémon Go,46,the founding fathers would’ve loved Pokémon Go
1569127277493125122,"Yall my wife is playing her FIRST pokemon game tonight!! She booted up Let's Go Eevee and is having a blast. I'm not saying anything, she's getting a very pure experience I'm LIVING rn",184,"Yall my wife is playing her FIRST pokemon game tonight!! She booted up Let's Go Eevee and is having a blast. I'm not saying anything, she's getting a very pure experience I'm LIVING rn"
1569127012882649091,Anyone new wanna join my Pokémon go chat?,41,Anyone new wanna join my Pokémon go chat?
1569126852500852738,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/pZWdfL1356 via @YouTube,112,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/pZWdfL1356 via @YouTube
1569126648171094016,"#freecode Pokemon TCG Online/TCG Live code: KWR-XV7R-PWC-LTL 

Pokemon Go Expansion (1 pack)

No expiration (as far as I know)

#pokemon #pokemongo #pokemontcg",159,"#freecode Pokemon TCG Online/TCG Live code: KWR-XV7R-PWC-LTL 

Pokemon Go Expansion (1 pack)

No expiration (as far as I know)

#pokemon #pokemongo #pokemontcg"
1569125914650509313,You need to Retweet this: the U.S.A. beat the Pokemon Go Gym held by Corbyn,75,You need to Retweet this: the U.S.A. beat the Pokemon Go Gym held by Corbyn
1569125811151831040,Let's be friends in Pokémon GO! My Trainer Code is 9039 7049 7851! Need friends for raids please,96,Let's be friends in Pokémon GO! My Trainer Code is 9039 7049 7851! Need friends for raids please
1569125802280914944,"Um... Is the Professor gone already? I was hoping to have him have a look at my Pokédex in person. Oh well, I can still get my Pokédex evaluated at a Pokémon Center's PC... Anyway, I'm heading off to go look for Pokémon in Frost Cavern and fill up more of my Pokédex!",267,"Um... Is the Professor gone already? I was hoping to have him have a look at my Pokédex in person. Oh well, I can still get my Pokédex evaluated at a Pokémon Center's PC... Anyway, I'm heading off to go look for Pokémon in Frost Cavern and fill up more of my Pokédex!"
1569125572554416129,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/gflsbIp0Cz via @YouTube,112,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/gflsbIp0Cz via @YouTube
1569125570021130242,"Hard to say but if I had to go with at least one, it'd have to be The Rescuers. I watched that film a lot on VHS when I was younger before the tape just, disappeared. 

Runner ups include Freddy vs. Jason, Teacher's Pet and I wanna say the third pokemon movie??? https://t.co/ozKgOnqB3x",262,"Hard to say but if I had to go with at least one, it'd have to be The Rescuers. I watched that film a lot on VHS when I was younger before the tape just, disappeared. 

Runner ups include Freddy vs. Jason, Teacher's Pet and I wanna say the third pokemon movie??? https://t.co/ozKgOnqB3x"
1569124956629508096,"If you join or return to Pokémon GO using my referral code V9PCJ79X3, you’ll get a welcome reward, earn special bonus items, and more. https://t.co/xSS8TsIzXE",158,"If you join or return to Pokémon GO using my referral code V9PCJ79X3, you’ll get a welcome reward, earn special bonus items, and more. https://t.co/xSS8TsIzXE"
1569124872462401536,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/8EwayThOUb via @YouTube,112,Pokemon GO Hack iOS/Android 2022 - How to Get Pokemon GO Spoofer with Jo... https://t.co/8EwayThOUb via @YouTube
1569124747501309952,@SupremeDirt is this a spinoff of Pokemon Go called gaowif go?,62,@SupremeDirt is this a spinoff of Pokemon Go called gaowif go?
1569124091293990912,This man is playing Pokémon Go holy hell what a unbelievable set up..the dedication is unmatched https://t.co/bjspOu42Ft,96,This man is playing Pokémon Go holy hell what a unbelievable set up..the dedication is unmatched https://t.co/bjspOu42Ft
