1568403027513556992,"We were able to really get in the groove today! Rocket League able to pull off back to back sweeps, and start Activation off on a strong note! #ghcesports https://t.co/sxMQfP2VSH",154,"We were able to really get in the groove today! Rocket League able to pull off back to back sweeps, and start Activation off on a strong note! #ghcesports https://t.co/sxMQfP2VSH"
1568403010602115074,Going live with Rocket League in 5 Minutes. Join us as we take on University of Windsor! https://t.co/u22id7E3wt,112,Going live with Rocket League in 5 Minutes. Join us as we take on University of Windsor! https://t.co/u22id7E3wt
1568403001165103104,"Some funny moments Rocket League happening with @Poxxers and @Darth_Chocobo right now! https://t.co/SuKIFuIoxf
#NovaEnergyDrink",127,"Some funny moments Rocket League happening with @Poxxers and @Darth_Chocobo right now! https://t.co/SuKIFuIoxf
#NovaEnergyDrink"
1568402872974413824,"@SethAbramson @atlasincognita Try Rocket League, dude, five minute matches. @RocketLeague",89,"@SethAbramson @atlasincognita Try Rocket League, dude, five minute matches. @RocketLeague"
1568402708150845443,The Coe Rocket League team falls in a close one in Week 1 NECC Activation matches to Bethel University #CoeEsports #BleedCrimsonWinGold #RL https://t.co/BVOV6O8TZ4,139,The Coe Rocket League team falls in a close one in Week 1 NECC Activation matches to Bethel University #CoeEsports #BleedCrimsonWinGold #RL https://t.co/BVOV6O8TZ4
1568402682846617600,"6 juegos, 6 @

Celeste
Soul knight
Homeworld
Grim dawn
Rocket league
Dota

@Bandinale23 @nicoechevarg @yesroth @Kappcake15 @TomiBestia @JoacoFrere https://t.co/M4gLP2FbFq",146,"6 juegos, 6 @

Celeste
Soul knight
Homeworld
Grim dawn
Rocket league
Dota

@Bandinale23 @nicoechevarg @yesroth @Kappcake15 @TomiBestia @JoacoFrere https://t.co/M4gLP2FbFq"
1568402648814202882,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/ODe8Scnnag,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/ODe8Scnnag
1568402502294421506,"We go live in 10 minutes with potato-ness in rocket League.

Come hang out!

🟣ttv/whatcanibreak https://t.co/RB7lmLVycI",95,"We go live in 10 minutes with potato-ness in rocket League.

Come hang out!

🟣ttv/whatcanibreak https://t.co/RB7lmLVycI"
1568402130863812608,"Head over to https://t.co/INxrDvW4wV for Season 1 Week 10 events going live! We will be featuring Fortnite, Rocket League, and Fall Guys! https://t.co/8jQMNVMgXE",137,"Head over to https://t.co/INxrDvW4wV for Season 1 Week 10 events going live! We will be featuring Fortnite, Rocket League, and Fall Guys! https://t.co/8jQMNVMgXE"
1568402111293001732,Rocket League #SwiftLifeStyle #CTRL #TheRogueEnergy #Music #GLDShop https://t.co/HdMgbDoi3e,91,Rocket League #SwiftLifeStyle #CTRL #TheRogueEnergy #Music #GLDShop https://t.co/HdMgbDoi3e
1568402084458020864,Switching over to Rocket League - https://t.co/zUudCzs3Vx,57,Switching over to Rocket League - https://t.co/zUudCzs3Vx
1568400949043163137,@AdamAAbdalla @jakeacantu do you guys know Rocket League? My cousin’s bf or whatever was a designer for that game,113,@AdamAAbdalla @jakeacantu do you guys know Rocket League? My cousin’s bf or whatever was a designer for that game
1568400380492480513,"Live Now Playing Rocket League #twitch 
https://t.co/4qZYcb7njt",63,"Live Now Playing Rocket League #twitch 
https://t.co/4qZYcb7njt"
1568400374226362368,"Yoo im gonna be streaming rocket league for today and hopefully i get some good games. lets vibe!
https://t.co/V6U2jQ2eP5
#gaming #RocketLeague #Xbox #TwitchStreamers",166,"Yoo im gonna be streaming rocket league for today and hopefully i get some good games. lets vibe!
https://t.co/V6U2jQ2eP5
#gaming #RocketLeague #Xbox #TwitchStreamers"
1568399619670872065,Going live at 8 pm CST - starting with Rocket League with some possible Fall Guys and Fortnite after that! https://t.co/mepJf45Y1Q,130,Going live at 8 pm CST - starting with Rocket League with some possible Fall Guys and Fortnite after that! https://t.co/mepJf45Y1Q
1568399542789312513,"Rocket League needs to add new power ups to rumble.  I've mastered every single one.  My goal percentage with each power up is much higher than the expected rate.  Almost SSL already, need a challenge @RocketLeague",214,"Rocket League needs to add new power ups to rumble.  I've mastered every single one.  My goal percentage with each power up is much higher than the expected rate.  Almost SSL already, need a challenge @RocketLeague"
1568399373561741313,they done added the ek9 into rocket league,42,they done added the ek9 into rocket league
1568399231983185920,Rocket League brings out so many emotions in a person,53,Rocket League brings out so many emotions in a person
